IDENTIFICADOR;VALOR1;VALOR2;VALOR3;VALOR4;VALOR5
890905211;DICIEMBRE.wav;DUO_TO_BA.wav;340649;NOVIEMBRE.wav;
860529344;DICIEMBRE.wav;CYBER SECURITY.wav;620098;NOVIEMBRE.wav;
900176024;DICIEMBRE.wav;DUO_TO_BA.wav;30898;NOVIEMBRE.wav;
890932025;DICIEMBRE.wav;INTERNET DEDICADO 1-1.wav;2790550;NOVIEMBRE.wav;
900467409;DICIEMBRE.wav;VOZ PLUS.wav;110254;NOVIEMBRE.wav;
900699359;DICIEMBRE.wav;SERV PRO Y SERV ADMIN.wav;493273;NOVIEMBRE.wav;
800104062;NOVIEMBRE.wav;CONECTIVIDAD.wav;21430;OCTUBRE.wav;
800112725;NOVIEMBRE.wav;TELEVISION.wav;5940;OCTUBRE.wav;
800180120;NOVIEMBRE.wav;SERV PRO Y SERV ADMIN.wav;7812;OCTUBRE.wav;
800224617;NOVIEMBRE.wav;EQUIPOS.wav;2382;OCTUBRE.wav;
806011811;NOVIEMBRE.wav;MAIL HOSTING.wav;2000;OCTUBRE.wav;
816001609;NOVIEMBRE.wav;SERV PRO Y SERV ADMIN.wav;42138;OCTUBRE.wav;
816005306;NOVIEMBRE.wav;CONECTIVIDAD.wav;8656;OCTUBRE.wav;
830123509;NOVIEMBRE.wav;INTERNET DEDICADO 1-1.wav;99;OCTUBRE.wav;
860000531;NOVIEMBRE.wav;INTERNET.wav;9682;OCTUBRE.wav;
860002964;NOVIEMBRE.wav;INTERNET.wav;8588;OCTUBRE.wav;
890101176;NOVIEMBRE.wav;INTERNET.wav;5177;OCTUBRE.wav;
890206354;NOVIEMBRE.wav;INTERNET DEDICADO 1-1.wav;16950;OCTUBRE.wav;
890701886;NOVIEMBRE.wav;EQUIPOS.wav;8003;OCTUBRE.wav;
890920304;NOVIEMBRE.wav;INTERNET DEDICADO 1-1.wav;943075;OCTUBRE.wav;
891400148;NOVIEMBRE.wav;EQUIPOS.wav;869;OCTUBRE.wav;
891401711;NOVIEMBRE.wav;EQUIPOS.wav;9860;OCTUBRE.wav;
899999465;NOVIEMBRE.wav;CONECTIVIDAD.wav;5354;OCTUBRE.wav;
